number,name,leg1,leg2,leg3,leg4,leg5,leg6
Team #1,NU Club Running Men's Team,0:26:57,0:51:00,1:17:54,1:44:18,2:06:03,2:30:24,2:30:24
Team #5,Northeastern Univ. Alumni,0:27:08,0:51:37,1:21:04,1:51:58,2:16:28,2:43:15,2:43:15
Team #2,Seeking Satellites,0:28:02,0:54:37,1:20:55,1:50:24,2:18:09,2:47:50,2:47:50
Team #32,Happy Unicorns,0:32:40,1:01:11,1:32:37,2:02:47,2:27:55,2:56:15,2:56:15
Team #4,PRUDES AND DUDES,0:27:44,0:56:16,1:31:13,2:03:41,2:30:26,3:02:00,3:02:00
Team #3,Women's NU Club Running Team,0:32:02,1:02:54,1:35:32,2:11:05,2:41:53,3:11:55,3:11:55
Team #19,Sole Sisters,0:32:53,1:05:23,1:41:17,2:16:01,2:47:00,3:17:17,3:17:17
Team #24,WILD CARD,0:41:00,1:11:07,1:43:18,2:16:31,2:45:40,3:17:59,3:17:59
Team #17,Smile for Miles,0:40:53,1:10:42,1:48:58,2:23:04,2:48:38,3:23:32,3:23:32
Team #29,All Downhill From Here,0:38:00,1:10:17,1:44:54,2:21:08,2:50:30,3:26:01,3:26:01
Team #31,Injury Prone,0:37:21,1:10:20,1:46:20,2:22:41,2:53:12,3:27:08,3:27:08
Team #12,The Chicken Runners,0:38:00,1:09:14,1:42:52,2:20:11,2:53:56,3:29:01,3:29:01
Team #20,Pop Magic TKMK,0:29:27,1:08:11,1:45:45,2:17:19,2:53:05,3:32:30,3:32:30
Team #27,Rogue Islanders,0:41:57,1:16:26,1:48:20,2:31:19,3:05:18,3:37:35,3:37:35
Team #23,Mass Confusion 1,0:40:18,1:15:09,1:50:50,2:31:41,3:04:37,3:40:21,3:40:21
Team #15,Mass Confusion 2,0:35:54,1:08:20,1:44:15,2:30:28,3:07:38,3:40:50,3:40:50
Team #13,K3J2M,0:39:50,1:12:48,1:50:30,2:32:10,3:06:11,3:41:21,3:41:21
Team #10,Hopin' Chicks,0:36:16,1:15:04,1:51:38,2:27:11,3:03:20,3:42:10,3:42:10
Team #6,Pat's IHOOP,0:35:45,1:10:24,1:50:35,2:28:35,3:04:18,3:45:06,3:45:06
Team #14,Bill's Bandits,0:37:36,1:18:25,1:54:00,2:33:51,3:10:46,3:45:06,3:45:06
Team #7,Beat Pat's IHOOP,0:41:24,1:12:39,1:54:18,2:35:10,3:09:42,3:45:35,3:45:35
Team #22,CST2,0:37:56,1:09:07,1:52:42,2:45:02,3:13:47,3:45:48,3:45:48
Team #21,CST1,0:45:05,1:23:09,2:01:48,2:41:54,3:12:39,3:46:12,3:46:12
Team #25,Team Kiley,0:40:10,1:16:42,1:53:20,2:36:57,3:12:29,3:49:49,3:49:49
Team #8,Frank's Angels,0:42:58,1:20:47,2:02:19,2:42:39,3:09:57,3:51:09,3:51:09
Team #11,Hopkinton Hot Heels,0:38:00,1:12:45,1:50:05,2:36:24,3:13:00,3:55:45,3:55:45
Team #26,CST3,0:45:35,1:25:28,2:06:15,2:42:31,3:16:29,4:01:24,4:01:24
Team #30,MadWomen,0:45:05,1:22:05,2:03:00,2:47:00,3:23:16,4:08:12,4:08:12
Team #28,Team Luna,0:45:37,1:23:27,2:05:05,2:51:41,3:30:44,4:16:06,4:16:06
Team #9,Girl Power,0:44:26,1:20:28,2:16:12,3:02:36,3:38:12,4:16:57,4:16:57
Team #18,The Green Machine,0:40:03,1:13:30,2:02:10,2:54:42,3:33:27,4:18:03,4:18:03
Team #16,Moes Mean Milers,0:43:14,1:19:07,2:06:00,3:03:27,3:41:06,4:36:45,4:36:45